resolution,noise,conv_layers,activation,optimizer,batch_size,mean_accuracy,median_accuracy,std_dev_accuracy,avg_training_time_sec,cat_cat,cat_wild,cat_dog,wild_cat,wild_wild,wild_dog,dog_cat,dog_wild,dog_dog,cat_recall,cat_specificity,cat_precision,cat_f1_score,cat_type1_error,cat_type2_error,cat_TP,cat_FP,cat_FN,cat_TN,wild_recall,wild_specificity,wild_precision,wild_f1_score,wild_type1_error,wild_type2_error,wild_TP,wild_FP,wild_FN,wild_TN,dog_recall,dog_specificity,dog_precision,dog_f1_score,dog_type1_error,dog_type2_error,dog_TP,dog_FP,dog_FN,dog_TN
32x32,yes,1,relu,adam,8,92.35,92.39,1.0,67.2,513.45,14.75,14.8,21.35,489.45,32.2,18.6,22.95,501.45,0.9456,0.9632,0.9287,0.9367,0.0368,0.0544,513.45,39.95,29.55,1046.05,0.9014,0.9653,0.9298,0.9146,0.0347,0.0986,489.45,37.7,53.55,1048.3,0.9235,0.9567,0.9164,0.9189,0.0433,0.0765,501.45,47.0,41.55,1039.0
128x128,no,5,relu,adam,2048,95.62,97.7,4.49,1879.92,528.55,6.1,8.35,3.9,513.75,25.35,4.95,22.7,515.35,0.9734,0.9919,0.9837,0.978,0.0081,0.0266,528.55,8.85,14.45,1077.15,0.9461,0.9735,0.9542,0.9471,0.0265,0.0539,513.75,28.8,29.25,1057.2,0.9491,0.969,0.9461,0.942,0.031,0.0509,515.35,33.7,27.65,1052.3
64x64,no,3,relu,adam,16,95.99,96.1,0.62,184.49,528.7,7.55,6.75,9.95,520.1,12.95,9.85,18.25,514.9,0.9737,0.9818,0.9645,0.9687,0.0182,0.0263,528.7,19.8,14.3,1066.2,0.9578,0.9762,0.954,0.9552,0.0238,0.0422,520.1,25.8,22.9,1060.2,0.9483,0.9819,0.9644,0.9556,0.0181,0.0517,514.9,19.7,28.1,1066.3
